Ár;Mán;Vörur hé_an;Vörur hinga_;Vörur samtals;Póstur hé_an;Póstur hinga_;Póstur samtals;Total;;;;;;;;;
2014;Jan;2.610;895;3.505;25;72;97;3.602;;;;;;;;;
2014;Feb;2.307;1.001;3.308;22;75;97;3.405;;;;;;;;;
2014;Mar;2.581;1.063;3.644;21;81;102;3.746;;;;;;;;;
2014;Apr;2.452;978;3.430;23;71;94;3.524;;;;;;;;;
2014;Maí;2.356;1.058;3.414;19;80;99;3.513;;;;;;;;;
2014;Jún;2.191;1.142;3.333;19;74;93;3.426;;;;;;;;;
2014;Júl;2.307;1.145;3.452;22;77;99;3.550;;;;;;;;;
2014;Ágú;2.060;1.019;3.079;22;76;98;3.177;;;;;;;;;
2014;Sep;2.540;1.052;3.592;22;81;103;3.695;;;;;;;;;
2014;Okt;2.743;1.102;3.845;27;86;113;3.958;;;;;;;;;
2014;Nóv;2.501;1.056;3.557;28;94;122;3.679;;;;;;;;;
2014;Des;2.408;1.103;3.511;69;110;179;3.690;;;;;;;;;
2015;Jan;2.480;893;3.373;22;80;102;3.475;;;;;;;;;
2015;Feb;2.287;986;3.273;21;79;100;3.373;;;;;;;;;
2015;Mar;2.799;1.163;3.962;27;89;116;4.078;;;;;;;;;
2015;Apr;2.159;965;3.124;18;78;96;3.220;;;;;;;;;
2015;Maí;2.344;1.056;3.400;19;84;103;3.503;;;;;;;;;
2015;Jún;2.412;1.245;3.657;25;84;109;3.766;;;;;;;;;
2015;Júl;2.210;1.224;3.434;25;81;106;3.540;;;;;;;;;
2015;Ágú;2.109;1.154;3.263;26;87;113;3.376;;;;;;;;;
2015;Sep;2.860;1.148;4.008;29;85;114;4.122;;;;;;;;;
2015;Okt;3.026;115;4.141;23;85;108;4.249;;;;;;;;;
2015;Nóv;2.797;1.180;3.977;21;90;111;4.088;;;;;;;;;
2015;Des;2.573;1.192;3.765;64;114;178;3.943;;;;;;;;;
2016;Jan;2.717;1.062;3.779;22;85;107;3.885;;;;;;;;;
2016;Feb;2.698;1.155;3.853;18;84;102;3.954;;;;;;;;;
2016;Mar;2.749;1.284;4.034;23;93;117;4.150;;;;;;;;;
2016;Apr;2.504;1.109;3.613;18;75;92;3.705;;;;;;;;;
2016;Maí;2.113;1.172;3.285;7;57;64;3.349;;;;;;;;;
2016;Jún;2.859;1.475;4.334;19;83;102;4.436;;;;;;;;;
2016;Júl;2.263;1.359;3.622;16;84;100;3.722;;;;;;;;;
2016;Ágú;2.534;1.326;3.860;18;88;106;3.965;;;;;;;;;
2016;Sep;3.147;1.383;4.530;15;97;112;4.642;;;;;;;;;
2016;Okt;3.310;1.307;4.617;17;98;115;4.732;;;;;;;;;
2016;Nóv;3.021;1.449;4.470;37;136;173;4.643;;;;;;;;;
2016;Des;2.535;1.600;4.135;99;202;300;4.435;;;;;;;;;
2017;Jan;2.197;1.206;3.403;54;135;189;3.592;;;;;;;;;
2017;Feb;2.152;1.333;3.485;24;106;130;3.615;;;;;;;;;
2017;Mar;3.095;1.576;4.671;33;127;160;4.831;;;;;;;;;
2017;Apr;2.641;1.447;4.088;18;103;121;4.209;;;;;;;;;
2017;Maí;2.783;1.867;4.650;15;108;123;4.773;;;;;;;;;
2017;Jún;2.032;2.346;4.378;6;79;85;4.463;;;;;;;;;
2017;Júl;2.382;2.323;4.705;11;90;101;4.806;;;;;;;;;
2017;Ágú;2.667;2.374;5.041;16;103;119;5.160;;;;;;;;;
2017;Sep;2.873;2.021;4.894;24;117;141;5.035;;;;;;;;;
2017;Okt;3.232;1.938;5.170;31;115;146;5.316;;;;;;;;;
2017;Nóv;3.011;1.881;4.892;46;139;185;5.077;;;;;;;;;
2017;Des;3.106;1.929;5.035;61;130;191;5.226;;;;;;;;;
2018;Jan;3.527;1.567;5.094;30;110;140;5.234;;;;;;;;;
2018;Feb;2.820;1.534;4.354;31;107;138;4.492;;;;;;;;;
2018;Mar;3.317;1.807;5.124;38;120;158;5.282;;;;;;;;;
2018;Apr;2.739;1.737;4.476;31;108;139;4.615;;;;;;;;;
2018;Maí;2.875;1.917;4.792;36;112;148;4.940;;;;;;;;;
2018;Jún;2.618;2.022;4.640;39;111;150;4.790;;;;;;;;;
2018;Júl;2.423;2.107;4.530;30;110;140;4.670;;;;;;;;;
2018;Ágú;2.659;1.854;4.513;41;123;164;4.677;;;;;;;;;
2018;Sep;3.112;1.795;4.907;45;131;176;5.083;;;;;;;;;
2018;Okt;3.374;1.824;5.198;64;166;230;5.428;;;;;;;;;
2018;Nóv;3.169;1.855;5.024;46;142;188;5.212;;;;;;;;;
2018;Des;3.107;1.495;4.602;89;149;238;4.840;;;;;;;;;
2019;Jan;3.468;1.249;4.718;26;101;127;4.844;;;;;;;;;
2019;Feb;3.029;1.279;4.308;21;94;115;4.423;;;;;;;;;
2019;Mar;3.679;1.377;5.055;63;144;207;5.262;;;;;;;;;
2019;Apr;2.985;1.258;4.243;37;100;137;4.380;;;;;;;;;
2019;Maí;3.090;1.575;4.665;31;98;130;4.794;;;;;;;;;
2019;Jún;2.420;1.585;4.005;27;95;122;4.128;;;;;;;;;
2019;Júl;2.378;1.535;3.913;31;98;129;4.042;;;;;;;;;
2019;Ágú;2.334;1.567;3.902;31;100;131;4.032;;;;;;;;;
2019;Sep;2.802;1.471;4.273;32;99;132;4.405;;;;;;;;;
2019;Okt;3.180;1.501;4.681;26;88;114;4.796;;;;;;;;;
2019;Nóv;3.269;1.474;4.743;38;105;144;4.887;;;;;;;;;
2019;Des;3.040;1.382;4.422;65;108;174;4.596;;;;;;;;;
2020;Jan;3.338;1.384;4.722;32;92;124;4.846;;;;;;;;;
2020;Feb;2.812;1.357;4.169;23;88;111;4.280;;;;;;;;;
2020;Mar;2.632;1.287;3.919;23;59;82;4.001;;;;;;;;;
2020;Apr;1.977;1.028;3.005;16;7;23;3.028;;;;;;;;;
2020;Maí;2.664;1.562;4.226;15;12;27;4.253;;;;;;;;;
2020;Jún;2.664;1.644;4.308;15;41;56;4.364;;;;;;;;;
2020;Júl;2.348;1.433;3.781;17;46;62;3.843;;;;;;;;;
2020;Ágú;2.013;1.166;3.179;15;26;40;3.219;;;;;;;;;
2020;Sep;2.498;1.279;3.777;20;49;69;3.847;;;;;;;;;
2020;Okt;2.615;1.474;4.089;24;59;83;4.172;;;;;;;;;
2020;Nóv;2.949;1.607;4.556;42;64;106;4.662;;;;;;;;;
2020;Des;2.937;1.619;4.556;56;94;150;4.706;;;;;;;;;
2021;Jan;3.116;1.203;4.320;20;56;76;4.396;;;;;;;;;
2021;Feb;2.786;1.386;4.172;18;48;66;4.238;;;;;;;;;
2021;Mar;3.630;1.725;5.355;23;61;85;5.440;;;;;;;;;
2021;Apr;2.938;1.487;4.425;16;61;77;4.502;;;;;;;;;
2021;Maí;3.410;1.870;5.280;28;71;99;5.379;;;;;;;;;
2021;Jún;2.916;1.788;4.704;14;60;73;4.777;;;;;;;;;
2021;Júl;2.236;1.714;3.949;9;45;54;4.003;;;;;;;;;
2021;Ágú;2.930;1.719;4.649;17;60;78;4.727;;;;;;;;;
2021;Sep;3.488;1.792;5.280;40;82;123;5.403;;;;;;;;;
2021;Okt;3.600;1.946;5.546;32;76;109;5.655;;;;;;;;;
2021;Nóv;3.718;1.874;5.592;35;74;109;5.700;;;;;;;;;
2021;Des;3.302;1.835;5.137;59;77;136;5.273;;;;;;;;;
2022;Jan;3.154;1.307;4.462;25;65;91;4.552;;;;;;;;;
2022;Feb;2.684;1.502;4.186;15;64;79;4.265;;;;;;;;;
2022;Mar;3.313;1.746;5.059;18;62;80;5.138;;;;;;;;;
2022;Apr;3.241;1.971;5.211;15;49;64;5.276;;;;;;;;;
2022;Maí;2.871;1.820;4.692;13;55;68;4.759;;;;;;;;;
2022;Jún;2.582;1.719;4.301;26;71;97;4.398;;;;;;;;;
2022;Júl;2.261;1.643;3.904;23;65;87;3.991;;;;;;;;;
2022;Ágú;2.508;1.833;4.340;19;67;85;4.426;;;;;;;;;
2022;Sep;2.850;1.667;4.517;33;77;109;4.626;;;;;;;;;
2022;Okt;2.830;1.599;4.429;30;74;103;4.532;;;;;;;;;
2022;Nóv;2.730;1.507;4.237;32;72;103;4.341;;;;;;;;;
2022;Des;2.953;1.998;4.952;56;75;131;5.083;;;;;;;;;
2023;Jan;3.834;1.386;5.220;36;56;92;5.313;;;;;;;;;
2023;Feb;3.236;1.684;4.920;31;60;91;5.011;;;;;;;;;
2023;Mar;3.322;1.977;5.299;33;61;94;5.393;;;;;;;;;
2023;Apr;2.819;1.643;4.462;17;50;67;4.530;;;;;;;;;
2023;Maí;2.986;1.808;4.794;20;63;83;4.878;;;;;;;;;
2023;Jún;2.744;2.052;4.796;19;44;63;4.859;;;;;;;;;
2023;Júl;2.759;1.791;4.549;17;45;62;4.611;;;;;;;;;
2023;Ágú;2.881;1.907;4.788;18;63;81;4.869;;;;;;;;;
2023;Sep;3.116;2.057;5.174;21;70;91;5.265;;;;;;;;;
2023;Okt;3.353;1.953;5.306;19;71;90;5.396;;;;;;;;;
2023;Nóv;3.409;2.073;5.482;29;77;106;5.588;;;;;;;;;
2023;Des;3.411;1.813;5.223;44;68;112;5.335;;;;;;;;;
2024;Jan;3.125;1.732;4.857;33;52;85;4.942;;;;;;;;;
2024;Feb;3.390;1.763;5.153;32;67;99;5.252;;;;;;;;;
2024;Mar;3.022;1.626;4.648;37;71;108;4.756;;;;;;;;;
2024;Apr;2.605;1.707;4.312;32;67;99;4.411;;;;;;;;;
2024;Maí;2.822;1.813;4.635;40;104;144;4.779;;;;;;;;;
2024;Jún;2.408;1.752;4.161;34;117;151;4.312;;;;;;;;;
2024;Júl;2.132;1.937;4.070;33;115;148;4.218;;;;;;;;;
2024;Ágú;2.584;2.016;4.600;31;123;154;4.753;;;;;;;;;
2024;Sep;3.530;1.684;5.214;41;112;153;5.366;;;;;;;;;
2024;Okt;3.952;2.062;6.015;38;130;168;6.183;;;;;;;;;
2024;Nóv;3.762;1.932;5.694;36;127;163;5.858;;;;;;;;;
2024;Des;3.367;2.052;5.419;44;92;136;5.555;;;;;;;;;
2025;Jan;3.556;1.610;5.166;17;62;79;5.245;;;;;;;;;
2025;Feb;3.328;1.791;5.119;15;66;81;5.200;;;;;;;;;
2025;Mar;3.374;1.882;5.256;19;73;92;5.348;;;;;;;;;
2025;Apr;2.997;1.825;4.822;29;62;91;4.913;;;;;;;;;
2025;Maí;2.919;2.260;5.179;18;72;90;5.269;;;;;;;;;
2025;Jún;2.947;2.086;5.033;24;67;91;5.124;;;;;;;;;
2025;Júl;2.926;2.323;5.249;16;74;90;5.339;;;;;;;;;
2025;Ágú;2.630;2.064;4.694;19;85;104;4.798;;;;;;;;;
2025;Sep;3.321;2.066;5.387;13;66;79;5.466;;;;;;;;;
2025;Okt;;;;;;;0;;;;;;;;;
2025;Nóv;;;;;;;0;;;;;;;;;
2025;Des;;;;;;;0;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
