"Month","Consumer price index Index","Consumer price index Monthly change, %","Consumer price index Annual change, %"
"2015M01",419.3,-0.71,0.8
"2015M02",422.1,0.67,0.8
"2015M03",426.4,1.02,1.6
"2015M04",427.0,0.14,1.4
"2015M05",428.2,0.28,1.6
"2015M06",429.3,0.26,1.5
"2015M07",430.0,0.16,1.9
"2015M08",432.3,0.53,2.2
"2015M09",430.6,-0.39,1.9
"2015M10",430.9,0.07,1.8
"2015M11",429.4,-0.35,2.0
"2015M12",430.8,0.33,2.0
"2016M01",428.3,-0.58,2.1
"2016M02",431.2,0.68,2.2
"2016M03",432.8,0.37,1.5
"2016M04",433.7,0.21,1.6
"2016M05",435.5,0.42,1.7
"2016M06",436.3,0.18,1.6
"2016M07",434.9,-0.32,1.1
"2016M08",436.4,0.34,0.9
"2016M09",438.5,0.48,1.8
"2016M10",438.5,0.00,1.8
"2016M11",438.4,-0.02,2.1
"2016M12",439.0,0.14,1.9
"2017M01",436.5,-0.57,1.9
"2017M02",439.6,0.71,1.9
"2017M03",439.9,0.07,1.6
"2017M04",442.1,0.50,1.9
"2017M05",443.0,0.20,1.7
"2017M06",443.0,0.00,1.5
"2017M07",442.9,-0.02,1.8
"2017M08",444.0,0.25,1.7
"2017M09",444.6,0.14,1.4
"2017M10",446.7,0.47,1.9
"2017M11",446.0,-0.16,1.7
"2017M12",447.2,0.27,1.9
"2018M01",446.8,-0.09,2.4
"2018M02",449.5,0.60,2.3
"2018M03",452.0,0.56,2.8
"2018M04",452.2,0.04,2.3
"2018M05",451.8,-0.09,2.0
"2018M06",454.6,0.62,2.6
"2018M07",454.8,0.04,2.7
"2018M08",455.7,0.20,2.6
"2018M09",456.8,0.24,2.7
"2018M10",459.4,0.57,2.8
"2018M11",460.5,0.24,3.3
"2018M12",463.9,0.74,3.7
"2019M01",462.0,-0.41,3.4
"2019M02",462.9,0.19,3.0
"2019M03",465.3,0.52,2.9
"2019M04",467.0,0.37,3.3
"2019M05",468.0,0.21,3.6
"2019M06",469.8,0.38,3.3
"2019M07",468.8,-0.21,3.1
"2019M08",470.1,0.28,3.2
"2019M09",470.5,0.09,3.0
"2019M10",472.2,0.36,2.8
"2019M11",472.8,0.13,2.7
"2019M12",473.3,0.11,2.0
"2020M01",469.8,-0.74,1.7
"2020M02",474.1,0.92,2.4
"2020M03",475.2,0.23,2.1
"2020M04",477.5,0.48,2.2
"2020M05",480.1,0.54,2.6
"2020M06",482.2,0.44,2.6
"2020M07",482.9,0.15,3.0
"2020M08",485.1,0.46,3.2
"2020M09",487.0,0.39,3.5
"2020M10",489.1,0.43,3.6
"2020M11",489.3,0.04,3.5
"2020M12",490.3,0.20,3.6
"2021M01",490.0,-0.06,4.3
"2021M02",493.4,0.69,4.1
"2021M03",495.8,0.49,4.3
"2021M04",499.3,0.71,4.6
"2021M05",501.4,0.42,4.4
"2021M06",502.7,0.26,4.3
"2021M07",503.5,0.16,4.3
"2021M08",505.8,0.46,4.3
"2021M09",508.2,0.47,4.4
"2021M10",511.2,0.59,4.5
"2021M11",513.0,0.35,4.8
"2021M12",515.3,0.45,5.1
"2022M01",517.9,0.50,5.7
"2022M02",523.9,1.16,6.2
"2022M03",528.8,0.94,6.7
"2022M04",535.4,1.25,7.2
"2022M05",539.5,0.77,7.6
"2022M06",547.1,1.41,8.8
"2022M07",553.5,1.17,9.9
"2022M08",555.1,0.29,9.7
"2022M09",555.6,0.09,9.3
"2022M10",559.3,0.67,9.4
"2022M11",560.9,0.29,9.3
"2022M12",564.6,0.66,9.6
"2023M01",569.4,0.85,9.9
"2023M02",577.3,1.39,10.2
"2023M03",580.7,0.59,9.8
"2023M04",588.3,1.31,9.9
"2023M05",590.6,0.39,9.5
"2023M06",595.6,0.85,8.9
"2023M07",595.8,0.03,7.6
"2023M08",597.8,0.34,7.7
"2023M09",599.9,0.35,8.0
"2023M10",603.5,0.60,7.9
"2023M11",605.8,0.38,8.0
"2023M12",608.3,0.41,7.7
"2024M01",607.3,-0.16,6.7
"2024M02",615.4,1.33,6.6
"2024M03",620.3,0.80,6.8
"2024M04",623.7,0.55,6.0
"2024M05",627.3,0.58,6.2
"2024M06",630.3,0.48,5.8
"2024M07",633.2,0.46,6.3
"2024M08",633.8,0.09,6.0
"2024M09",632.3,-0.24,5.4
"2024M10",634.1,0.28,5.1
"2024M11",634.7,0.09,4.8
"2024M12",637.2,0.39,4.8
"2025M01",635.5,-0.27,4.6
"2025M02",641.3,0.91,4.2
"2025M03",643.7,0.37,3.8
"2025M04",649.7,0.93,4.2
"2025M05",651.0,0.20,3.8
"2025M06",656.5,0.84,4.2
"2025M07",658.6,0.32,4.0
