Month,Fob value,Quantity,Tonnes
2015M01,17443.307802,12,61862.221999999994
2015M02,11043.267014,3,44834.738000000005
2015M03,18156.151577,0,63416.129
2015M04,15378.472065,1,55815.958
2015M05,12322.323254,10,52370.323000000004
2015M06,10021.481354,0,35829.889
2015M07,14478.768928,76,59342.16499999999
2015M08,12079.015628000001,1,56894.683000000005
2015M09,12660.083179,0,59350.115
2015M10,15138.750232,1,71976.679
2015M11,14070.14459,5,63013.658
2015M12,10884.85589,2,58492.526
2016M01,8967.886959,0,42704.151999999995
2016M02,13128.460029000002,2,63977.296
2016M03,13819.273954,2,65337.492
2016M04,15572.211789,1,74950.18100000001
2016M05,11207.009802,1,49994.95
2016M06,14095.760777999998,14,75666.866
2016M07,12966.336491,6,62746.704999999994
2016M08,8753.30859,0,48003.79
2016M09,9922.952012,1,59276.924999999996
2016M10,9683.816386,2,43695.185000000005
2016M11,7892.159651,1,45025.452
2016M12,12609.001711999997,0,73393.606
2017M01,11913.859057,0,60629.018000000004
2017M02,7483.259309,0,41034.272000000004
2017M03,14723.87891,1,75780.123
2017M04,9690.751328,0,50000.380000000005
2017M05,9573.668645,9,55764.373999999996
2017M06,10367.903897999999,0,53498.4
2017M07,10430.046659000001,0,53307.944
2017M08,10111.863975,1,49120.056000000004
2017M09,9205.677093,4,42205.256
2017M10,12853.855392000001,16,58271.753
2017M11,11707.816058000002,2,50480.494999999995
2017M12,14615.481919999998,3,63283.921
2018M01,16439.252396,0,87952.742
2018M02,14469.401247000002,0,74927.416
2018M03,15626.612589000002,2,72441.711
2018M04,11902.880546999999,0,54245.104
2018M05,14499.938263000002,2,74467.886
2018M06,18900.177231,4,76866.084
2018M07,14227.18367,2,60164.6
2018M08,12632.791277,3,53607.954
2018M09,15574.115413,1,66999.72899999999
2018M10,14166.629320999999,0,71960.22499999999
2018M11,16067.0075,1,62922.943999999996
2018M12,17774.419221,0,76160.22899999999
2019M01,13322.981254000002,1,54808.284
2019M02,8330.538422,0,41973.414
2019M03,10326.350351,1,43103.74799999999
2019M04,8987.748464,1,38873.022
2019M05,12601.511576,8,54935.493
2019M06,9639.187461,0,46566.351
2019M07,10426.245575,3,44276.014
2019M08,9053.904561000001,0,55126.47
2019M09,8559.344837,1,36918.253
2019M10,11307.120363,1,49652.622
2019M11,9837.065722,0,50145.462999999996
2019M12,8938.375199,6,40576.929000000004
2020M01,10214.272924,0,55451.96599999999
2020M02,8897.104653,20,44122.687
2020M03,9942.672645,1,41493.103
2020M04,13075.389274000001,1,54795.599
2020M05,12437.068123,0,55073.651000000005
2020M06,9594.341945999999,282,43571.407
2020M07,9966.527183,0,49452.831
2020M08,8737.053243,0,39472.844000000005
2020M09,9946.61785,3,40325.202
2020M10,13553.74754,1,71128.61899999999
2020M11,8754.804247,1,47536.467
2020M12,11047.342403,1,46800.117999999995
2021M01,9822.990299,0,42743.284999999996
2021M02,10112.332045000001,1,39525.042
2021M03,11541.290617999999,0,43146.253
2021M04,16206.447513000001,0,59681.443999999996
2021M05,12714.646766999998,1,48126.86
2021M06,11979.771883,0,41468.879
2021M07,28100.536391,0,93487.411
2021M08,16846.807004000002,2,52133.123
2021M09,20801.064792,1,70504.046
2021M10,24558.864454999995,0,67306.745
2021M11,21154.317297,3,55324.342000000004
2021M12,22620.508342,1,57749.20799999999
2022M01,25029.497734000004,1,62489.922
2022M02,22054.006623999998,0,57255.96699999999
2022M03,28799.332243999997,2,63775.453
2022M04,26946.59025,0,58600.793999999994
2022M05,37064.845113,0,75064.492
2022M06,35417.134957,2,84735.227
2022M07,34704.685312,0,71837.691
2022M08,38592.326426,2,86696.875
2022M09,31420.485489,0,73081.164
2022M10,26063.638753,0,61599.335
2022M11,25175.275903,0,58326.823000000004
2022M12,46372.60155,0,118217.803
2023M01,31819.525411,22,80673.679
2023M02,29235.606315999998,0,73771.043
2023M03,32016.831175,25,79379.637
2023M04,26352.498057,0,73322.636
2023M05,29282.646839,11,75695.811
2023M06,31061.296292000003,0,85688.986
2023M07,26289.365041999998,0,75572.776
2023M08,24683.610890000004,22,83254.771
2023M09,30537.84811,11,81496.827
2023M10,23123.937378,0,63664.943999999996
2023M11,21116.692843,0,53092.194
2023M12,31010.509928,1,82264.152
2024M01,19392.322568,22,52665.48099999999
2024M02,28411.892349,3,92137.276
2024M03,21751.49343,8,59907.8
2024M04,24650.69386,0,65562.849
2024M05,28541.391875,0,76540.85399999999
2024M06,24416.0589,0,60068.462999999996
2024M07,33327.559282,2,83321.136
2024M08,23040.040947999998,0,62191.411
2024M09,24759.804912,0,69067.36
2024M10,24833.062242,3,64961.391
2024M11,29538.146956999997,17,81719.322
2024M12,31575.755666,0,78973.395
2025M01,37669.821784,1,93155.48
2025M02,28869.04713,0,66039.595
2025M03,30256.512349,0,71076.538
2025M04,23932.722132000003,44,65480.062999999995
2025M05,29460.319092,0,79966.614
2025M06,23922.686105999997,0,67332.862
2025M07,25235.086,0,74544.853
