Month,Fob value,Quantity,Tonnes
2015M01,2613.699158,12,3007.464
2015M02,3241.258966,86,5432.344
2015M03,2939.692735,127,3877.423
2015M04,3118.08572,158,6055.134
2015M05,2431.988335,63,3306.421
2015M06,3081.878899,102,5521.043
2015M07,2502.004519,138,4026.315
2015M08,2660.574631,87,13140.285
2015M09,3201.087079,76,5621.0
2015M10,3120.385572,42,4257.916
2015M11,3295.061408,59,6431.5199999999995
2015M12,3316.3084989999998,64,5244.592
2016M01,2580.1976369999998,40,3877.558
2016M02,3410.141777,151,7003.616
2016M03,3296.716868,124,6642.234
2016M04,3727.563287,98,6068.525
2016M05,3757.994038,132,7618.242
2016M06,3736.604599,80,7500.549
2016M07,2833.718966,67,7797.571
2016M08,3964.003787,200,16710.642
2016M09,3922.705953,192,11070.851
2016M10,4111.839863,281,6646.184
2016M11,3195.412011,217,5030.666
2016M12,3197.504428,153,6587.593
2017M01,2593.030598,35,5506.546
2017M02,2353.066265,163,4454.798
2017M03,2597.385788,220,6681.782999999999
2017M04,2581.92451,142,4237.47
2017M05,3614.5609600000003,120,8967.651
2017M06,3111.65371,198,15601.206999999999
2017M07,2416.448358,105,6180.7970000000005
2017M08,3202.314386,178,6682.85
2017M09,3570.027286,145,5991.508
2017M10,3646.265231,89,6693.925
2017M11,3634.838171,49,7264.737
2017M12,2889.2879239999997,196,4472.59
2018M01,3245.009402,119,6217.125
2018M02,3338.92939,183,5496.418
2018M03,3118.047271,184,6822.3
2018M04,2553.112715,215,5593.407
2018M05,2984.4374080000002,68,5349.358
2018M06,3056.33814,52,13616.677
2018M07,3816.003388,181,5163.461
2018M08,2839.259139,91,7015.515
2018M09,4098.935052,201,6618.343
2018M10,4514.375812,263,10193.799
2018M11,4162.751156,123,7646.95
2018M12,3798.821215,107,6349.501
2019M01,4642.927083,305,6888.83
2019M02,3066.5268849999998,191,6676.772
2019M03,4077.011441,176,4326.05
2019M04,4208.8190349999995,181,19939.162
2019M05,4022.388079,123,9380.825
2019M06,3230.069148,250,5899.07
2019M07,4505.298876,98,7124.1359999999995
2019M08,2396.863434,136,4319.318
2019M09,3049.732588,163,6960.797
2019M10,5722.948366,131,16120.268
2019M11,4582.7252499999995,0,6958.551
2019M12,3232.149621,271,6942.867
2020M01,4420.634043999999,23,8510.244999999999
2020M02,3894.696773,99,6038.682
2020M03,3567.6561229999998,0,8495.919
2020M04,3169.280328,12,6140.994000000001
2020M05,3774.567724,0,9145.861
2020M06,4047.331575,565,4539.491
2020M07,3498.9160909999996,157,7424.581
2020M08,3203.2518309999996,259,9183.207999999999
2020M09,4760.872117,206,20459.954
2020M10,3534.88892,152,6485.929
2020M11,4060.378562,215,13338.210000000001
2020M12,5097.295148,147,8433.5
2021M01,3026.3300990000002,161,6089.32
2021M02,3983.1868609999997,165,6933.4169999999995
2021M03,5003.7073980000005,178,8352.371
2021M04,5168.540375,225,7321.928
2021M05,4865.730248,257,11139.201
2021M06,4328.771722,193,9039.845000000001
2021M07,4522.829451,286,8699.416
2021M08,5193.341775,111,13729.72
2021M09,5108.653127,245,11583.204
2021M10,5685.047034,162,12340.954
2021M11,5968.6928,142,12703.565
2021M12,5967.259391,0,10642.916
2022M01,5365.34977,79,14705.189999999999
2022M02,3232.9808319999997,35,4351.01
2022M03,6292.938155,65,14645.912
2022M04,3996.282053,86,3368.7309999999998
2022M05,6187.251048,126,20992.959
2022M06,5375.779892,19,10643.397
2022M07,4323.892839,0,7559.585
2022M08,8376.451436000001,10,16020.041
2022M09,8033.166927,204,22985.332000000002
2022M10,8299.333812,43,12131.525000000001
2022M11,8806.733178,0,17327.555
2022M12,9634.660030000001,415,12875.264
2023M01,8007.280787,194,10437.655
2023M02,5835.304115,8,6798.148
2023M03,7941.101592,4,12984.583
2023M04,5059.086972,0,7333.733
2023M05,10141.909285,131,12119.061
2023M06,6490.499699,17,19381.787
2023M07,6654.373522000001,15,13193.331999999999
2023M08,7252.947692,0,10734.573999999999
2023M09,9676.364649,0,17550.086000000003
2023M10,7552.272923,60,10305.355
2023M11,8863.384986,35,10788.382
2023M12,7569.86714,9,14537.337
2024M01,8520.505001,90,7561.588
2024M02,7920.705215,14,9795.874
2024M03,7520.545961000001,0,12895.087
2024M04,7664.056092,0,10274.877
2024M05,9787.714747,17,16171.503
2024M06,8119.553269999999,33,17716.257
2024M07,9815.059173,23,26746.074
2024M08,8609.83989,18,12929.117
2024M09,11151.236926,0,20025.893
2024M10,10202.780604,17,12401.04
2024M11,9431.915743,5,19241.392
2024M12,11652.722287,0,14340.498
2025M01,10664.20376,4,12763.874
2025M02,9974.045597,0,9791.187999999998
2025M03,9435.791852,6,9311.779
2025M04,7456.697194,0,9945.153
2025M05,5837.70572,18,8441.948999999999
2025M06,6396.944811,6,9901.336
2025M07,6878.453695,0,12230.357
